,first_name,last_name,gender,email,mark_1,mark_2,mark_3,attendance,height,weight,city
0,Amy,Perez,M,tanner87@example.org,32,77,77,80,187,99,Kyiv
1,Sandra,Zavala,M,pamelafrench@example.org,78,87,92,65,143,70,Odesa
2,Kristine,Reyes,F,vperez@example.net,75,57,1,33,141,75,Odesa
3,Ruben,Le,M,mooreamy@example.net,64,79,57,23,128,63,Lviv
4,Rita,Williams,F,greenkayla@example.net,38,19,37,57,169,86,Dnipro
5,Grant,Welch,F,victoria88@example.com,15,29,58,75,198,90,Kyiv
6,Amanda,Hall,M,frank99@example.com,61,58,35,83,153,60,Dnipro
7,Thomas,Caldwell,F,rebecca73@example.com,41,16,1,13,158,30,Lviv
8,Samuel,Walls,M,jameshampton@example.net,67,61,32,98,141,74,Kyiv
9,Heather,Bright,M,feliciaharper@example.com,10,68,51,69,200,33,Odesa
10,Gina,Rodriguez,F,rmcconnell@example.org,28,45,18,52,191,32,Dnipro
11,Jamie,Hayes,M,jodynavarro@example.net,28,22,90,73,170,77,Kharkiv
12,Samuel,Sullivan,F,dramirez@example.net,51,3,67,13,147,67,Odesa
13,Sarah,Williams,M,schwartzjeffrey@example.net,16,40,28,1,149,73,Kyiv
14,Alexander,Vega,M,greencynthia@example.org,5,32,6,69,173,30,Dnipro
15,Lauren,Garcia,M,matthew28@example.com,56,11,50,5,125,33,Kharkiv
16,Tracy,Watkins,F,annette50@example.net,89,77,1,55,140,65,Kyiv
17,Whitney,Bishop,F,thenry@example.org,61,87,19,9,113,71,Kharkiv
18,Joel,Nelson,M,cindy97@example.net,93,30,18,28,183,66,Odesa
19,Cody,Williams,M,mckeetammy@example.org,41,96,98,60,123,68,Odesa
20,Brendan,Fuentes,F,anna69@example.org,55,77,99,0,191,34,Kharkiv
21,Tamara,Bradshaw,M,nestrada@example.com,3,12,17,90,154,99,Kharkiv
22,Brenda,Parker,F,jonathan49@example.com,90,81,46,58,113,90,Odesa
23,Rhonda,Poole,F,umartin@example.com,32,78,60,15,176,58,Dnipro
24,George,Hill,F,billyhernandez@example.net,37,42,63,54,118,50,Lviv
25,Melissa,Lyons,F,wheelerjanice@example.net,100,9,5,0,167,80,Lviv
26,Lisa,Keller,F,sheriarmstrong@example.org,45,26,98,36,136,38,Odesa
27,Melissa,Bridges,M,rmccarthy@example.com,83,45,80,60,158,45,Lviv
28,Angela,Rosario,F,carrie24@example.net,9,6,56,76,104,35,Kharkiv
29,Jody,Cordova,F,jasonharris@example.net,79,68,20,54,171,77,Dnipro
30,Christopher,Carson,M,francismonroe@example.com,82,77,6,50,152,76,Kyiv
31,Eric,Benson,M,davisraymond@example.org,84,54,60,79,152,90,Dnipro
32,Bridget,Carr,F,jacobsellers@example.org,97,39,82,45,129,71,Odesa
33,Mike,Wilson,M,timothyfrye@example.org,44,59,35,20,127,46,Kyiv
34,Matthew,Nunez,F,derek30@example.org,76,92,0,14,149,93,Dnipro
35,Tammy,West,M,rwade@example.com,88,19,33,0,122,99,Dnipro
36,Jessica,House,F,robertalexander@example.org,27,50,9,26,193,95,Dnipro
37,Matthew,Reynolds,M,willismichelle@example.com,56,18,28,3,137,97,Odesa
38,Marilyn,Ramirez,M,wiserhonda@example.net,34,18,99,48,167,45,Odesa
39,Cheryl,Long,F,kstephens@example.net,42,15,23,61,118,72,Kyiv
40,Eric,Nielsen,F,vclayton@example.com,97,75,30,22,146,86,Lviv
41,Danielle,Baker,M,cynthia98@example.org,31,92,93,10,179,40,Kharkiv
42,Nicole,Parker,M,briannawood@example.com,15,73,13,10,139,32,Kharkiv
43,Jonathan,Lee,F,james13@example.com,36,22,82,51,115,63,Lviv
44,Kimberly,Johnson,F,browntara@example.net,35,24,92,53,111,98,Odesa
45,Kara,Russell,M,finleymary@example.com,17,28,42,94,185,47,Lviv
46,Tracy,Dickson,F,ronald76@example.net,79,39,60,26,167,56,Kyiv
47,Gloria,Martinez,M,phillipgarrett@example.org,0,6,29,58,148,35,Kyiv
48,Christine,Rivera,F,frosales@example.org,29,73,54,54,153,39,Kyiv
49,Sue,Smith,M,julie67@example.com,61,78,39,38,188,68,Dnipro
50,Sarah,Scott,M,tina77@example.org,52,68,70,33,186,91,Odesa
51,Gregory,Davis,F,logan52@example.com,4,67,14,5,172,48,Kyiv
52,Christina,Wang,M,stephensheather@example.org,15,34,61,26,165,31,Lviv
53,Laura,Sanchez,F,davidholt@example.org,96,39,55,83,130,46,Lviv
54,Austin,Herring,F,michael42@example.com,21,46,43,61,109,80,Kyiv
55,Krystal,Brown,M,ashley88@example.net,40,21,25,88,185,34,Dnipro
56,Christopher,Casey,M,jacksonscott@example.net,33,97,8,5,141,69,Lviv
57,Courtney,Lane,M,ddiaz@example.com,63,45,24,20,130,31,Lviv
58,Deborah,Galvan,M,qdeleon@example.net,96,45,46,87,146,35,Lviv
59,Michael,Obrien,M,williamskaren@example.com,65,2,69,12,153,61,Odesa
60,Edward,Deleon,F,jerrystevenson@example.com,89,84,70,39,175,76,Lviv
61,Jonathon,Sweeney,F,daniel31@example.net,100,27,30,67,100,35,Kyiv
62,Donald,Orr,F,williamsashley@example.org,53,15,37,10,117,63,Odesa
63,Elizabeth,Beasley,M,batescharles@example.org,54,72,71,61,102,52,Lviv
64,Jennifer,Lara,F,libarry@example.com,92,3,30,15,184,92,Lviv
65,Deanna,Hays,M,april53@example.org,98,78,46,40,102,64,Kyiv
66,Regina,Bass,F,mfry@example.org,53,54,12,57,109,73,Kharkiv
67,Benjamin,Mack,F,millerdebra@example.com,41,20,36,4,175,84,Kyiv
68,Kevin,Lyons,F,adamseric@example.org,84,66,91,52,163,69,Kyiv
69,Juan,Melendez,M,brettshaw@example.org,92,52,46,66,152,84,Lviv
70,Kristy,Martin,F,ericaprice@example.com,52,21,87,1,100,74,Kharkiv
71,Angelica,Navarro,M,danielsjoseph@example.com,45,100,25,7,165,87,Dnipro
72,Matthew,King,F,jeffreyleonard@example.com,56,72,50,59,146,89,Dnipro
73,Christy,Oliver,M,bartlettjimmy@example.net,52,72,43,43,142,34,Lviv
74,James,White,F,hendricksronald@example.org,78,22,12,98,126,55,Lviv
75,Shawn,Gutierrez,F,henrysandra@example.net,24,83,98,56,103,73,Lviv
76,Joseph,Wilson,M,robert09@example.net,11,100,96,41,163,36,Kharkiv
77,Heather,Graham,M,lewischarles@example.org,58,37,59,23,126,46,Kyiv
78,Christopher,Dickerson,F,oguerra@example.org,41,85,32,50,135,47,Dnipro
79,Christopher,Williams,M,amanda78@example.org,35,22,58,21,116,57,Lviv
80,Abigail,Olson,M,adamlowery@example.com,16,48,83,90,180,61,Dnipro
81,Tamara,Hernandez,F,michaelball@example.org,87,77,24,32,195,47,Kharkiv
82,Aaron,Brooks,F,christyjohnson@example.net,31,86,25,61,166,100,Lviv
83,Lisa,Collins,M,kbarnes@example.com,10,22,22,27,170,98,Odesa
84,Virginia,Smith,F,silvavanessa@example.net,90,38,59,28,123,57,Lviv
85,Alejandro,Wheeler,M,elizabeth93@example.com,7,43,63,93,198,83,Odesa
86,Mark,Walters,F,denise90@example.com,15,61,9,14,187,53,Odesa
87,Lance,Knight,M,qstewart@example.net,86,62,45,30,156,68,Odesa
88,Mark,Strong,M,joe63@example.net,78,34,75,18,171,90,Kharkiv
89,John,Cherry,F,donnafleming@example.com,14,96,42,16,159,57,Odesa
90,Samantha,Vazquez,F,yabbott@example.org,72,11,2,76,150,77,Odesa
91,Robin,Baker,M,zacharybrady@example.org,29,10,8,7,144,97,Kharkiv
92,Chad,Archer,F,estradakathy@example.org,58,72,97,54,132,31,Lviv
93,Rachel,Morris,M,ashleyjames@example.net,61,31,96,62,193,84,Kyiv
94,William,Young,F,karen06@example.org,13,74,80,75,100,76,Kharkiv
95,Diane,Ortiz,M,lunalisa@example.org,81,72,30,13,153,75,Lviv
96,Dennis,Norris,M,anitacontreras@example.com,31,26,7,22,161,55,Odesa
97,Benjamin,Wilson,F,shawnamayer@example.org,49,62,77,84,105,97,Odesa
98,Amy,Johnson,F,fieldstimothy@example.com,92,27,20,51,127,98,Lviv
99,Christian,Howard,F,mariacherry@example.com,60,16,99,43,180,37,Dnipro
