first_name,last_name,gender,email,mark_1,mark_2,mark_3,attendance,height,weight,city
Anna,Thornton,M,mmartinez@example.org,32,0,22,86,140,64,Dnipro
Shane,Davis,M,harriswhitney@example.net,83,79,37,6,136,93,Dnipro
Mark,Barry,M,ashleystrickland@example.com,3,96,17,71,121,67,Dnipro
Lisa,Gutierrez,M,nicoleconrad@example.net,4,91,36,30,192,65,Odesa
Carl,Bates,F,shannon07@example.org,54,63,55,8,148,83,Kharkiv
Julie,English,F,robert10@example.org,37,42,88,30,170,76,Kyiv
Keith,Hamilton,M,harringtonjulia@example.net,71,92,71,59,157,71,Kyiv
Anthony,Hooper,M,petersonscott@example.com,34,67,97,71,151,57,Lviv
Don,Allen,M,gibsonconnie@example.com,3,3,100,2,181,38,Odesa
Kristen,Richards,M,daniel80@example.org,67,13,97,83,189,80,Lviv
Jessica,Kim,M,andreacarr@example.com,0,17,83,73,127,79,Lviv
Richard,Coleman,M,rebecca33@example.org,1,37,80,49,199,41,Kharkiv
Kimberly,Mullen,F,ndeleon@example.com,45,90,8,98,100,76,Kyiv
Heather,Holmes,M,tylersanchez@example.com,1,37,0,22,185,86,Dnipro
Corey,Lewis,M,walshwilliam@example.net,62,79,16,81,200,70,Lviv
Monica,Moore,M,gkline@example.com,26,100,31,26,186,55,Odesa
Tiffany,Grant,M,tammyavila@example.net,4,26,8,25,185,76,Dnipro
Heather,Koch,M,kjones@example.org,92,63,90,98,186,87,Dnipro
John,Cain,M,ymooney@example.org,54,41,49,63,108,79,Kharkiv
Edward,Leonard,M,morganroberts@example.com,10,20,67,37,176,62,Kharkiv
Heather,Ross,M,sarahcohen@example.org,82,35,83,76,135,70,Lviv
Kimberly,Hull,F,dianaperez@example.com,29,72,98,59,152,100,Dnipro
Catherine,Pena,F,paul65@example.com,69,69,43,81,146,35,Dnipro
Tina,Garcia,M,vangrachel@example.com,55,28,76,41,183,32,Lviv
Yesenia,Ruiz,F,cherylwhite@example.net,97,63,94,81,122,43,Odesa
Valerie,Jensen,M,joseph47@example.com,1,48,96,73,194,52,Kyiv
Monica,Shaffer,M,matthew63@example.org,38,16,17,92,198,60,Kyiv
Douglas,Hayes,F,raymond99@example.net,79,42,50,40,134,60,Kyiv
Eric,Calderon,M,wendy24@example.com,28,2,93,82,101,41,Lviv
Jessica,Morrison,F,monicawise@example.org,40,7,53,100,196,71,Dnipro
Kari,Campbell,M,tbowers@example.net,48,18,20,87,193,70,Dnipro
David,Roberson,M,robertrichardson@example.com,89,50,74,85,139,36,Kyiv
Melissa,Davis,M,trevorbrown@example.com,46,28,81,7,147,67,Lviv
Claudia,Torres,M,davisoscar@example.com,88,7,15,94,106,47,Lviv
Timothy,Martin,M,colemanmichael@example.net,69,85,19,0,173,37,Kharkiv
Nathan,Montgomery,M,melissabutler@example.com,27,20,99,100,119,66,Dnipro
Ruth,Padilla,F,davenportjacqueline@example.net,48,21,72,39,195,82,Lviv
Julie,Black,M,david54@example.net,22,1,65,11,122,100,Dnipro
Denise,Kennedy,M,shieldschristopher@example.org,70,85,96,56,169,85,Kharkiv
Dana,Ramos,F,davidmorris@example.org,49,47,96,56,138,55,Lviv
Jesse,Higgins,M,lloydsteven@example.org,39,31,69,97,139,72,Kyiv
John,Ellis,M,melissa98@example.net,80,32,17,76,181,74,Kyiv
Rebecca,Price,M,vgreen@example.net,67,42,59,34,105,30,Kyiv
Chase,Martinez,M,jillian52@example.org,17,90,86,54,112,51,Dnipro
Sharon,Castillo,M,phillipcaldwell@example.net,8,45,38,90,181,30,Lviv
Jose,Charles,M,robertramsey@example.net,74,19,64,92,142,63,Kyiv
Hunter,Moore,M,davidmaldonado@example.net,76,72,71,39,137,100,Kharkiv
Debbie,Johnson,F,alexisfarmer@example.org,31,24,72,53,186,49,Dnipro
Lauren,Jenkins,M,nancylove@example.com,95,56,31,34,161,89,Kharkiv
Emily,Cardenas,F,johnsonashley@example.net,77,4,45,21,199,95,Kharkiv
Nathaniel,Cline,F,jamessmith@example.net,27,84,82,99,171,49,Kharkiv
Mindy,Frey,M,hernandezmargaret@example.com,12,100,34,100,159,36,Dnipro
James,Henderson,M,hallcharles@example.net,63,96,80,72,115,35,Dnipro
Seth,Fitzpatrick,F,ryankhan@example.org,92,65,38,97,172,51,Kyiv
Michael,White,M,robert29@example.com,20,66,75,10,157,92,Lviv
Anna,Tyler,M,david49@example.org,54,20,6,99,115,84,Kharkiv
Christopher,Reid,M,carterjames@example.com,15,1,90,69,129,54,Kharkiv
Sara,Taylor,M,gabrielgilmore@example.org,16,45,98,82,126,70,Dnipro
Tyler,Barnes,M,aperez@example.com,29,53,38,4,199,57,Odesa
Dennis,Wallace,F,richard78@example.org,50,52,55,91,104,74,Kharkiv
Laura,Chang,M,bgonzalez@example.org,34,72,28,22,106,46,Odesa
Summer,Hernandez,M,samantha25@example.com,19,29,77,82,113,57,Kyiv
James,Hawkins,F,pnorton@example.net,38,21,21,67,169,40,Kharkiv
James,Salazar,M,schmidtchristina@example.org,15,21,2,39,127,89,Lviv
Jennifer,Weaver,M,gjackson@example.com,35,0,82,94,106,31,Lviv
Rhonda,Le,F,tsmith@example.net,2,67,37,86,194,56,Dnipro
Tonya,Hanson,F,morrisonanna@example.com,76,0,100,24,125,83,Kyiv
Jason,Eaton,M,bradley77@example.com,17,36,18,36,198,98,Dnipro
Michael,Flores,F,qmorris@example.net,35,69,47,99,126,32,Dnipro
Robert,Fuentes,F,stephenstephens@example.net,27,81,94,43,147,81,Lviv
Traci,Davis,F,duane08@example.com,23,13,91,4,155,82,Lviv
Kelly,Willis,M,michael60@example.net,55,46,91,64,140,79,Kyiv
Christine,Walker,F,melissavazquez@example.org,69,92,36,83,177,90,Lviv
Christian,Kemp,F,perezlinda@example.org,16,71,84,89,127,96,Kharkiv
Jonathan,Francis,M,qschmidt@example.net,37,6,98,49,185,69,Dnipro
George,Arellano,M,mburns@example.net,17,9,42,94,187,67,Dnipro
Rebekah,Miller,F,meghanmoran@example.org,52,9,33,70,187,33,Kharkiv
John,Mckenzie,M,mark55@example.org,45,37,91,15,116,31,Dnipro
Ross,Brown,M,ggreen@example.com,16,95,48,58,157,66,Dnipro
Sandra,Barker,F,spencesarah@example.org,0,14,13,54,169,79,Lviv
Mark,Duffy,M,brentjackson@example.net,73,26,94,18,131,73,Lviv
Anna,Brown,F,jeremiahgomez@example.com,0,84,85,26,184,59,Kharkiv
Richard,Flores,F,jasonmorgan@example.org,86,38,75,81,156,90,Kharkiv
Mary,Chandler,F,donmiller@example.org,62,99,13,5,107,64,Kharkiv
Nicholas,Simpson,M,scottjones@example.com,43,3,42,35,191,74,Kyiv
Sarah,Long,F,wwolf@example.com,50,20,8,55,180,66,Kyiv
Caitlyn,Hughes,F,awallace@example.com,59,95,0,89,122,50,Dnipro
Katherine,Rangel,F,katherine09@example.net,52,91,11,28,169,46,Dnipro
Crystal,Zimmerman,M,hilljay@example.org,87,9,83,45,115,50,Dnipro
Nicole,Williamson,F,johnsonlaurie@example.net,7,70,21,76,109,55,Dnipro
Billy,Smith,F,gholloway@example.org,7,7,81,89,180,60,Odesa
Bethany,Morrow,F,aprilarnold@example.org,75,9,93,72,140,31,Kharkiv
Pamela,Aguilar,M,douglas37@example.net,19,3,81,0,159,42,Kyiv
Taylor,Villa,F,hawkinstyler@example.org,73,96,7,84,168,60,Dnipro
Lisa,Taylor,M,annlee@example.org,66,62,60,74,170,82,Kharkiv
Pamela,Barton,F,kmann@example.net,18,96,89,83,169,57,Lviv
Joel,Douglas,F,juliescott@example.org,47,41,88,93,176,35,Lviv
Oscar,Morris,M,lauren26@example.net,96,98,99,26,145,50,Kharkiv
Kevin,Williams,M,hwilson@example.net,65,17,39,44,165,50,Dnipro
Michael,Perez,M,brett82@example.org,22,76,12,41,183,50,Kyiv
